"PointID","x","y"
0, 1.000080000000000e+00, 1.298657635133718e-03
1, 9.798549999999999e-01, 5.466085204787601e-03
2, 9.596079999999998e-01, 9.515045330345737e-03
3, 9.393449999999997e-01, 1.344900780617144e-02
4, 9.190669999999999e-01, 1.727101729305880e-02
5, 8.987730000000000e-01, 2.098382774607576e-02
6, 8.784640000000001e-01, 2.458975481955059e-02
7, 8.581410000000000e-01, 2.809072098321879e-02
8, 8.378050000000000e-01, 3.148816299009652e-02
9, 8.174539999999997e-01, 3.478344019669395e-02
10, 7.970910000000001e-01, 3.797714645346972e-02
11, 7.767150000000000e-01, 4.106981767641025e-02
12, 7.563270000000003e-01, 4.406144302554352e-02
13, 7.359270000000001e-01, 4.695177322164684e-02
14, 7.155150000000001e-01, 4.974022901513260e-02
15, 6.950929999999998e-01, 5.242560869837989e-02
16, 6.746590000000001e-01, 5.500669355224435e-02
17, 6.542149999999998e-01, 5.748175425360464e-02
18, 6.337610000000004e-01, 5.984845435631306e-02
19, 6.132970000000003e-01, 6.210455409453806e-02
20, 5.928229999999999e-01, 6.424691297159943e-02
21, 5.723409999999998e-01, 6.627239182207123e-02
22, 5.518500000000001e-01, 6.817715390493094e-02
23, 5.313510000000002e-01, 6.995696601701676e-02
24, 5.108440000000002e-01, 7.160719882471353e-02
25, 4.903299999999994e-01, 7.312272706417473e-02
26, 4.698099999999996e-01, 7.449762942778866e-02
27, 4.492840000000002e-01, 7.572568831990989e-02
28, 4.287520000000001e-01, 7.679988951869912e-02
29, 4.082159999999996e-01, 7.771232176924710e-02
30, 3.875759999999999e-01, 7.844397614867708e-02
31, 3.668650000000000e-01, 7.894164625220589e-02
32, 3.461490000000000e-01, 7.918992725630633e-02
33, 3.254309999999996e-01, 7.917721553849592e-02
34, 3.047139999999997e-01, 7.889030854046913e-02
35, 2.840020000000000e-01, 7.831420450766545e-02
36, 2.632959999999995e-01, 7.743220227357003e-02
37, 2.426010000000000e-01, 7.622460108959768e-02
38, 2.219220000000000e-01, 7.466880049271685e-02
39, 2.012640000000000e-01, 7.273780020843071e-02
40, 1.806310000000000e-01, 7.039890008159150e-02
41, 1.600330000000000e-01, 6.761140002915771e-02
42, 1.394760000000000e-01, 6.432340000934324e-02
43, 1.189729999999999e-01, 6.046550000262205e-02
44, 9.853700000000000e-02, 5.594070000062380e-02
45, 7.818849999999983e-02, 5.060340000012009e-02
46, 5.795880000000000e-02, 4.421300000001747e-02
47, 3.790390000000000e-02, 3.630690000000177e-02
48, 1.815790000000000e-02, 2.570150000000010e-02
49, 0.000000000000000e+00, 0.000000000000000e+00
50, 2.265850000009092e-02, -2.172400000000685e-02
51, 4.372870000000000e-02, -2.856009999999837e-02
52, 6.449020000000000e-02, -3.290519999998642e-02
53, 8.507679999999999e-02, -3.594289999992169e-02
54, 1.055450000000000e-01, -3.813559999964977e-02
55, 1.259249999999999e-01, -3.972409999870422e-02
56, 1.462380000000000e-01, -4.085399999585703e-02
57, 1.664980000000000e-01, -4.162219998820602e-02
58, 1.867150000000000e-01, -4.209819996945979e-02
59, 2.069000000000001e-01, -4.233379992689998e-02
60, 2.270570000000000e-01, -4.236979983631141e-02
61, 2.471950000000000e-01, -4.223879965378518e-02
62, 2.673160000000002e-01, -4.196779930318456e-02
63, 2.874270000000000e-01, -4.157949865720571e-02
64, 3.075299999999999e-01, -4.109349751029943e-02
65, 3.276300000000001e-01, -4.052669554002214e-02
66, 3.477290000000003e-01, -3.989379225463741e-02
67, 3.678289999999997e-01, -3.920818692264672e-02
68, 3.879340000000001e-01, -3.848137847951093e-02
69, 4.081109999999998e-01, -3.771956535743447e-02
70, 4.283910000000004e-01, -3.689034529459320e-02
71, 4.486759999999999e-01, -3.599191530567270e-02
72, 4.689660000000000e-01, -3.503207127258595e-02
73, 4.892609999999997e-01, -3.401780769350785e-02
74, 5.095640000000002e-01, -3.295551732056692e-02
75, 5.298739999999997e-01, -3.185079078269174e-02
76, 5.501910000000001e-01, -3.070891613488456e-02
77, 5.705160000000002e-01, -2.953447837710452e-02
78, 5.908500000000002e-01, -2.833165897626403e-02
79, 6.111930000000000e-01, -2.710403542683288e-02
80, 6.315450000000000e-01, -2.585498087603431e-02
81, 6.519070000000000e-01, -2.458726385130568e-02
82, 6.722800000000005e-01, -2.330334827629691e-02
83, 6.926619999999998e-01, -2.200529400394980e-02
84, 7.130559999999998e-01, -2.069475732198221e-02
85, 7.334609999999996e-01, -1.937309304066067e-02
86, 7.538770000000000e-01, -1.804115687730259e-02
87, 7.743050000000000e-01, -1.669970940220784e-02
88, 7.947459999999997e-01, -1.534902177824056e-02
89, 8.151990000000001e-01, -1.398908412276005e-02
90, 8.356650000000000e-01, -1.261971595912052e-02
91, 8.561440000000001e-01, -1.124018120338883e-02
92, 8.766380000000000e-01, -9.849977269397228e-03
93, 8.971449999999996e-01, -8.447941260037093e-03
94, 9.176679999999999e-01, -7.032941213546148e-03
95, 9.382060000000000e-01, -5.603699693129224e-03
96, 9.587590000000001e-01, -4.158846050345323e-03
97, 9.793290000000001e-01, -2.697004162919209e-03
98, 9.999160000000000e-01, -1.216907614987533e-03
