"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "rms[RhoW]"     , "RMS_ENERGY"    , "avg[bgs]"      , "rms[U][1]"     , "rms[R][1]"     , "rms[E][1]"     , "rms[DispX][1]" , "rms[DispY][1]" , "rms[DispZ][1]" , "avg[bgs][1]"   
1               , 0.008758209395  , 42.69882291     , -0.00429832425  , 0.00522554598   , 0.3740430796    , 0.373965232     , 0.3114880895    , -0.1717654962   , 0.01040241485   , 0.00522554598   , 0.0             , 29.0            , 0.0             , -13.21549124    , -10.58070611    , -10.83238685    , -10.89692005    , -7.682989682    , -11.80647436    , -13.74360846    , -5.554637962    , -19.90374233    , 0.0             , 0.0             , 0.0             , -15.92377723    
2               , 0.008757813996  , 42.70037336     , -0.004298604082 , 0.005227715904  , 0.3740397632    , 0.3739619274    , 0.3114823119    , -0.1717629692   , 0.01040452996   , 0.005227715904  , 0.0             , 29.0            , 0.0             , -13.18867275    , -10.59299044    , -10.81542996    , -10.80978724    , -7.655731119    , -11.66939724    , -13.66238894    , -5.545448094    , -19.90266704    , 0.0             , 0.0             , 0.0             , -15.92806099    
3               , 0.008757295851  , 42.70236663     , -0.004298958955 , 0.005229260975  , 0.3740350787    , 0.3739572582    , 0.3114738739    , -0.1717592191   , 0.01040635434   , 0.005229260975  , 0.0             , 29.0            , 0.0             , -13.20350488    , -10.6055947     , -10.81300977    , -10.83395089    , -7.684676762    , -11.72651202    , -13.77487091    , -5.547408371    , -19.89763642    , 0.0             , 0.0             , 0.0             , -15.81081147    
4               , 0.008752269395  , 42.72183133     , -0.004302436953 , 0.005242931784  , 0.373990649     , 0.3739129769    , 0.3113938689    , -0.1717237338   , 0.01042325353   , 0.005242931784  , 0.0             , 29.0            , 0.0             , -13.21686148    , -10.59742624    , -10.82101676    , -10.85023409    , -7.692105318    , -11.65868769    , -13.74138036    , -5.551365721    , -19.8990014     , 0.0             , 0.0             , 0.0             , -15.87582742    
5               , 0.008736133721  , 42.78443545     , -0.004313592148 , 0.005287172174  , 0.373847745     , 0.3737705493    , 0.3111368323    , -0.1716098565   , 0.01047782655   , 0.005287172174  , 0.0             , 29.0            , 0.0             , -13.15368249    , -10.55163965    , -10.82388174    , -10.80690004    , -7.604568711    , -11.71036631    , -13.57603916    , -5.562752916    , -19.92986221    , 0.0             , 0.0             , 0.0             , -15.89998596    
6               , 0.008596864862  , 43.31876155     , -0.004405137996 , 0.005699364744  , 0.3724787059    , 0.372405539     , 0.3086743786    , -0.1705171935   , 0.01096106243   , 0.005699364744  , 0.0             , 29.0            , 0.0             , -13.15067019    , -10.53256058    , -10.8007793     , -10.78442674    , -7.61663907     , -11.71206744    , -13.64991462    , -5.53432936     , -19.88399255    , 0.0             , 0.0             , 0.0             , -15.92764056    
7               , 0.008565704679  , 43.43591235     , -0.00442419206  , 0.005799921068  , 0.3721314881    , 0.3720591977    , 0.3080502483    , -0.1702399782   , 0.01107232868   , 0.005799921068  , 0.0             , 29.0            , 0.0             , -13.22080907    , -10.60208612    , -10.86388522    , -10.8464716     , -7.655630619    , -11.69403862    , -13.73090943    , -5.557868494    , -19.91524502    , 0.0             , 0.0             , 0.0             , -15.71109115    
8               , 0.008548304158  , 43.50074291     , -0.004434545678 , 0.005857353237  , 0.3719293874    , 0.3718575815    , 0.3076871129    , -0.1700786724   , 0.01113479683   , 0.005857353237  , 0.0             , 29.0            , 0.0             , -13.20800171    , -10.58595183    , -10.86049943    , -10.82809457    , -7.66643503     , -11.69841583    , -13.71699122    , -5.548069841    , -19.90795505    , 0.0             , 0.0             , 0.0             , -15.91547785    
9               , 0.0117915488    , 29.0413487      , -0.0001667045096, 0.009363477652  , 0.3426453928    , 0.3424424804    , 0.254811562     , -0.1463485558   , 0.005046506726  , 0.009363477652  , 0.0             , 29.0            , 0.0             , -13.15772229    , -10.54234076    , -10.81776191    , -10.85522047    , -7.651135286    , -11.72994562    , -13.66569931    , -5.541276169    , -19.90026193    , 0.0             , 0.0             , 0.0             , -15.85966402    
10              , 0.008363537679  , 44.12045963     , -0.004519580561 , 0.006621668137  , 0.3690702231    , 0.3690031266    , 0.3025527798    , -0.1677932986   , 0.01185928485   , 0.006621668137  , 0.0             , 29.0            , 0.0             , -13.21007081    , -10.58251835    , -10.82650774    , -10.82397856    , -7.684605787    , -9.993646042    , -11.1995872     , -5.527530914    , -19.01899356    , 0.0             , 0.0             , 0.0             , -13.38103961    
11              , 0.008320383163  , 44.20499715     , -0.004520808015 , 0.006913618439  , 0.3678688359    , 0.367802514     , 0.3003971959    , -0.1668317984   , 0.01207272513   , 0.006913618439  , 0.0             , 29.0            , 0.0             , -13.22695288    , -10.58494914    , -10.84237774    , -10.84698013    , -7.66298739     , -11.7330185     , -13.71188957    , -5.545191907    , -19.90170577    , 0.0             , 0.0             , 0.0             , -15.9298344     
12              , 0.008341174043  , 44.17341895     , -0.004522912058 , 0.006757084785  , 0.3685248236    , 0.3684581756    , 0.3015745295    , -0.1673572108   , 0.0119639884    , 0.006757084785  , 0.0             , 29.0            , 0.0             , -13.17271988    , -10.54398361    , -10.85720487    , -10.80346063    , -7.653048249    , -11.79228696    , -13.71380897    , -5.539297931    , -19.89186986    , 0.0             , 0.0             , 0.0             , -15.75494477    
13              , 0.008322201627  , 44.20322417     , -0.004521281115 , 0.006898171937  , 0.3679344894    , 0.3678681441    , 0.3005150333    , -0.1668844042   , 0.01206253216   , 0.006898171937  , 0.0             , 29.0            , 0.0             , -13.20377096    , -10.60047229    , -10.82388695    , -10.84200705    , -7.656737318    , -11.69219697    , -13.64201118    , -5.55099681     , -19.90394908    , 0.0             , 0.0             , 0.0             , -15.72270709    
14              , 0.008320562411  , 44.2048337      , -0.004520857944 , 0.006912075849  , 0.3678754018    , 0.3678090777    , 0.3004089807    , -0.1668370596   , 0.01207171262   , 0.006912075849  , 0.0             , 29.0            , 0.0             , -13.226138      , -10.59270847    , -10.83320651    , -10.84804005    , -7.681343509    , -11.69671018    , -13.78465398    , -5.558463413    , -19.91453558    , 0.0             , 0.0             , 0.0             , -15.76053492    
15              , 0.008320401062  , 44.20498095     , -0.004520813034 , 0.006913464201  , 0.3678694925    , 0.3678031704    , 0.3003983744    , -0.1668323245   , 0.01207262395   , 0.006913464201  , 0.0             , 29.0            , 0.0             , -13.18550432    , -10.57888169    , -10.85793612    , -10.85608095    , -7.658851692    , -11.75115005    , -13.71807356    , -5.551483971    , -19.90666836    , 0.0             , 0.0             , 0.0             , -15.95313784    
16              , 0.008320384953  , 44.20499553     , -0.004520808518 , 0.006913603015  , 0.3678689015    , 0.3678025797    , 0.3003973138    , -0.166831851    , 0.01207271501   , 0.006913603015  , 0.0             , 29.0            , 0.0             , -13.18378472    , -10.57369593    , -10.82540964    , -10.86559467    , -7.63780393     , -11.66101304    , -13.69022011    , -5.556195941    , -19.90962289    , 0.0             , 0.0             , 0.0             , -15.87535982    
17              , 0.008320383342  , 44.20499699     , -0.004520808066 , 0.006913616897  , 0.3678688424    , 0.3678025206    , 0.3003972077    , -0.1668318037   , 0.01207272412   , 0.006913616897  , 0.0             , 29.0            , 0.0             , -13.16558253    , -10.54260099    , -10.79314409    , -10.81277306    , -7.627860022    , -11.77085373    , -13.55866895    , -5.550324343    , -19.90288354    , 0.0             , 0.0             , 0.0             , -16.0251847     
18              , 0.008320383181  , 44.20499714     , -0.00452080802  , 0.006913618285  , 0.3678688365    , 0.3678025147    , 0.3003971971    , -0.1668317989   , 0.01207272503   , 0.006913618285  , 0.0             , 29.0            , 0.0             , -13.17895365    , -10.5779298     , -10.83767975    , -10.82693735    , -7.683483276    , -11.68715247    , -13.5876257     , -5.556561561    , -19.91799919    , 0.0             , 0.0             , 0.0             , -15.88566879    
19              , 0.008320383165  , 44.20499715     , -0.004520808016 , 0.006913618424  , 0.3678688359    , 0.3678025141    , 0.300397196     , -0.1668317985   , 0.01207272512   , 0.006913618424  , 0.0             , 29.0            , 0.0             , -13.21118126    , -10.58641055    , -10.84973967    , -10.81992273    , -7.673782131    , -11.69000083    , -13.5291283     , -5.544032396    , -19.9073712     , 0.0             , 0.0             , 0.0             , -16.04039919    
20              , 0.008320383163  , 44.20499715     , -0.004520808015 , 0.006913618438  , 0.3678688359    , 0.367802514     , 0.3003971959    , -0.1668317984   , 0.01207272513   , 0.006913618438  , 0.0             , 29.0            , 0.0             , -13.16415292    , -10.56605267    , -10.81457193    , -10.82526067    , -7.626064967    , -11.70787419    , -13.63540906    , -5.549463758    , -19.90887011    , 0.0             , 0.0             , 0.0             , -15.94934507    
21              , 0.008320383163  , 44.20499715     , -0.004520808015 , 0.006913618438  , 0.3678688359    , 0.367802514     , 0.3003971959    , -0.1668317984   , 0.01207272513   , 0.006913618438  , 0.0             , 29.0            , 0.0             , -13.2214072     , -10.56961595    , -10.83455186    , -10.82598009    , -7.657346645    , -11.7190937     , -13.80389806    , -5.564353243    , -19.93451849    , 0.0             , 0.0             , 0.0             , -16.01891381    
22              , 0.008320383163  , 44.20499715     , -0.004520808015 , 0.006913618439  , 0.3678688359    , 0.367802514     , 0.3003971959    , -0.1668317984   , 0.01207272513   , 0.006913618439  , 0.0             , 29.0            , 0.0             , -13.18717582    , -10.57303522    , -10.81978729    , -10.81452353    , -7.644873212    , -11.77492209    , -13.69232024    , -5.54904208     , -19.90531436    , 0.0             , 0.0             , 0.0             , -15.85652538    
